onset,rime,vq,F0,gender,group,df1,df2,choice,RT,pcp
b,ao,modal,7,female,G1,p<f,-2,0,2006,718382
b,ao,creaky,14,female,G4,p>f,5,1,1745,718382
b,ao,creaky,4,female,G3,p<f,-5,0,1878,718382
b,ao,creaky,8,female,G3,p<f,-1,0,1547,718382
d,ao,modal,11,female,G2,p>f,2,0,1817,718382
d,ao,modal,15,female,G2,p>f,6,1,1721,718382
d,ao,modal,5,female,G1,p<f,-4,0,1548,718382
d,ao,creaky,12,female,G4,p>f,3,0,1245,718382
f,a,modal,13,female,G2,p>f,4,1,1649,718382
f,a,modal,4,female,G1,p<f,-5,0,1576,718382
f,a,creaky,13,female,G4,p>f,4,1,3335,718382
f,a,creaky,15,female,G4,p>f,6,1,1970,718382
sh,a,modal,14,female,G2,p>f,5,1,1766,718382
sh,a,modal,3,female,G1,p<f,-6,0,1674,718382
sh,a,creaky,5,female,G3,p<f,-4,0,1422,718382
sh,a,creaky,6,female,G3,p<f,-3,0,1420,718382
z,ao,modal,10,female,G2,p>f,1,0,3424,718382
z,ao,modal,6,female,G1,p<f,-3,0,2537,718382
z,ao,creaky,11,female,G4,p>f,2,0,2795,718382
z,ao,creaky,7,female,G3,p<f,-2,0,2390,718382
zh,ao,modal,12,female,G2,p>f,3,0,2000,718382
zh,ao,modal,8,female,G1,p<f,-1,0,1771,718382
zh,ao,creaky,10,female,G4,p>f,1,0,1951,718382
zh,ao,creaky,3,female,G3,p<f,-6,0,1588,718382
b,ao,modal,-2,male,G1,p<f,-1,0,1788,718382
b,ao,modal,-5,male,G1,p<f,-4,0,1193,718382
b,ao,modal,1,male,G2,p>f,2,0,1783,718382
b,ao,modal,5,male,G2,p>f,6,1,1550,718382
d,ao,modal,-4,male,G1,p<f,-3,0,1426,718382
d,ao,modal,0,male,G2,p>f,1,0,1446,718382
d,ao,creaky,-6,male,G3,p<f,-5,0,1624,718382
d,ao,creaky,0,male,G4,p>f,1,0,1555,718382
f,a,modal,3,male,G2,p>f,4,0,3543,718382
f,a,modal,4,male,G2,p>f,5,1,2146,718382
f,a,creaky,-2,male,G3,p<f,-1,0,1498,718382
f,a,creaky,2,male,G4,p>f,3,0,1289,718382
sh,a,modal,-3,male,G1,p<f,-2,0,1288,718382
sh,a,modal,-7,male,G1,p<f,-6,0,1683,718382
sh,a,creaky,1,male,G4,p>f,2,0,1141,718382
sh,a,creaky,4,male,G4,p>f,5,0,1442,718382
